Product,Feature,Sentiment,Rating,Review
OnePlus Nord,Packaging,Negative,1,Box was damaged
OnePlus Nord,Customer Support,Negative,1,Support was bad
OnePlus Nord,Customer Support,Positive,4,Support was helpful
OnePlus Nord,Battery Life,Neutral,3,Battery is average
OnePlus Nord,Battery Life,Positive,4,Battery lasts full day
OnePlus Nord,Price Value,Negative,2,Too expensive
OnePlus Nord,Battery Life,Negative,2,Battery drains fast
OnePlus Nord,Battery Life,Negative,1,Battery drains fast
OnePlus Nord,Battery Life,Positive,4,Battery lasts full day
OnePlus Nord,Price Value,Neutral,3,Price is average
OnePlus Nord,Build Quality,Neutral,3,Build is okay
OnePlus Nord,Packaging,Neutral,3,Packaging was normal
OnePlus Nord,Customer Support,Negative,2,Support was bad
OnePlus Nord,Build Quality,Neutral,3,Build is okay
OnePlus Nord,Delivery Speed,Positive,5,Fast delivery
OnePlus Nord,Delivery Speed,Negative,1,Late delivery
OnePlus Nord,Customer Support,Neutral,3,Support was okay
OnePlus Nord,Build Quality,Negative,2,Feels cheap
OnePlus Nord,Packaging,Neutral,3,Packaging was normal
OnePlus Nord,Battery Life,Negative,1,Battery drains fast
OnePlus Nord,Delivery Speed,Negative,1,Late delivery
OnePlus Nord,Battery Life,Neutral,3,Battery is average
OnePlus Nord,Customer Support,Negative,2,Support was bad
OnePlus Nord,Battery Life,Positive,5,Battery lasts full day
OnePlus Nord,Price Value,Negative,2,Too expensive
OnePlus Nord,Price Value,Positive,4,Worth the price
OnePlus Nord,Packaging,Negative,1,Box was damaged
OnePlus Nord,Build Quality,Negative,1,Feels cheap
OnePlus Nord,Delivery Speed,Negative,1,Late delivery
OnePlus Nord,Battery Life,Neutral,3,Battery is average
OnePlus Nord,Packaging,Negative,1,Box was damaged
OnePlus Nord,Delivery Speed,Negative,2,Late delivery
OnePlus Nord,Delivery Speed,Neutral,3,Delivery was okay
OnePlus Nord,Battery Life,Negative,1,Battery drains fast
OnePlus Nord,Customer Support,Negative,1,Support was bad
OnePlus Nord,Price Value,Positive,4,Worth the price
OnePlus Nord,Price Value,Positive,4,Worth the price
OnePlus Nord,Price Value,Positive,5,Worth the price
OnePlus Nord,Battery Life,Neutral,3,Battery is average
OnePlus Nord,Delivery Speed,Negative,1,Late delivery
OnePlus Nord,Packaging,Positive,4,Packaging was neat
OnePlus Nord,Battery Life,Negative,1,Battery drains fast
OnePlus Nord,Battery Life,Neutral,3,Battery is average
OnePlus Nord,Delivery Speed,Neutral,3,Delivery was okay
OnePlus Nord,Battery Life,Positive,5,Battery lasts full day
OnePlus Nord,Packaging,Positive,4,Packaging was neat
OnePlus Nord,Customer Support,Neutral,3,Support was okay
OnePlus Nord,Battery Life,Positive,4,Battery lasts full day
OnePlus Nord,Battery Life,Negative,1,Battery drains fast
OnePlus Nord,Battery Life,Negative,2,Battery drains fast
OnePlus Nord,Battery Life,Positive,5,Battery lasts full day
OnePlus Nord,Customer Support,Neutral,3,Support was okay
OnePlus Nord,Price Value,Negative,1,Too expensive
OnePlus Nord,Packaging,Neutral,3,Packaging was normal
OnePlus Nord,Delivery Speed,Neutral,3,Delivery was okay
OnePlus Nord,Packaging,Positive,4,Packaging was neat
